metro,origin,destination,duration
"Green Bay, WI", "Green Bay Botanical Garden","Long Tail Point Lighthouse, llc",768
"Green Bay, WI", "Northeast Wisconsin Technical College","Green Bay Austin Straubel International Airport",602
"Green Bay, WI", "Green Bay Austin Straubel International Airport","Green Bay Botanical Garden",633
"Greensboro-High Point, NC", "Kersey Valley Attractions","Piedmont Triad International Airport",1427
"Greensboro-High Point, NC", "Wet 'n Wild Emerald Pointe Water Park","Guilford Technical Community College",752
"Greensboro-High Point, NC", "High Point City Lake Park","Kersey Valley Attractions",730
"Greensboro-High Point, NC", "Guilford Technical Community College","Piedmont Triad International Airport",1245
"Greensboro-High Point, NC", "Piedmont Triad International Airport","High Point City Lake Park",1244
"Greenville, NC", "River Park North","Pitt-Greenville Airport",414
"Greenville, NC", "South Tar River Greenway","East Carolina University",376
"Greenville, NC", "Thomas Foreman Park","River Park North",384
"Greenville, NC", "East Carolina University","Pitt-Greenville Airport",709
"Greenville, NC", "Pitt-Greenville Airport","Thomas Foreman Park",291
"Greenville-Anderson, SC", "Carolina Wren Park","Anderson Regional Airport",566
"Greenville-Anderson, SC", "Anderson County Parks & Rec","Anderson University",386
"Greenville-Anderson, SC", "Chris Taylor Memorial Park","Carolina Wren Park",581
"Greenville-Anderson, SC", "Anderson University","Anderson Regional Airport",810
"Greenville-Anderson, SC", "Anderson Regional Airport","Chris Taylor Memorial Park",671
"Gulfport-Biloxi, MS", "Gulf Islands Waterpark","Gulfport-Biloxi International Airport",707
"Gulfport-Biloxi, MS", "Hard Rock Hotel & Casino Biloxi","The University of Southern Mississippi Gulf Park Campus",1801
"Gulfport-Biloxi, MS", "Biloxi Lighthouse","Gulf Islands Waterpark",1312
"Gulfport-Biloxi, MS", "The University of Southern Mississippi Gulf Park Campus","Gulfport-Biloxi International Airport",1108
"Gulfport-Biloxi, MS", "Gulfport-Biloxi International Airport","Biloxi Lighthouse",1383
"Hagerstown-Martinsburg, MD-WV", "Washington Monument State Park","Hagerstown Regional Airport",1941
"Hagerstown-Martinsburg, MD-WV", "Antietam National Battlefield","Hagerstown Community College",1571
"Hagerstown-Martinsburg, MD-WV", "South Mountain State Park","Washington Monument State Park",1150
"Hagerstown-Martinsburg, MD-WV", "Hagerstown Community College","Hagerstown Regional Airport",1258
"Hagerstown-Martinsburg, MD-WV", "Hagerstown Regional Airport","South Mountain State Park",1776
"Hammond, LA", "Louisiana Children's Discovery Center","Hammond North Shore Regional Airport",488
"Hammond, LA", "North Oak Park","Southeastern Louisiana University",228
"Hammond, LA", "Ponchatoula Area Recreation District 1","Louisiana Children's Discovery Center",837
"Hammond, LA", "Southeastern Louisiana University","Hammond North Shore Regional Airport",719
"Hammond, LA", "Hammond North Shore Regional Airport","Ponchatoula Area Recreation District 1",702
"Hanford-Corcoran, CA", "Bravo Farms","Newton Field Airport",1022
"Hanford-Corcoran, CA", "California Aqueduct Avenal City Limits","West Hills College Lemoore, Naval Air Station",1257
"Hanford-Corcoran, CA", "West Hills College Lemoore, Naval Air Station","Newton Field Airport",1029
"Harrisburg-Carlisle, PA", "Little Buffalo State Park","Haunstein Aerodrome",1410
"Harrisburg-Carlisle, PA", "U.S. Army Heritage and Education Center","Harrisburg Area Community College",1411
"Harrisburg-Carlisle, PA", "Koser Park","Little Buffalo State Park",2633
"Harrisburg-Carlisle, PA", "Harrisburg Area Community College","Haunstein Aerodrome",1485
"Harrisburg-Carlisle, PA", "Haunstein Aerodrome","Koser Park",1646
"Harrisonburg, VA", "CrossKeys Vineyards","Cub Haven",2127
"Harrisonburg, VA", "Explore More Discovery Museum","Bridgewater College",1106
"Harrisonburg, VA", "Harrisonburg Downtown Renaissance","CrossKeys Vineyards",1251
"Harrisonburg, VA", "Bridgewater College","Cub Haven",1785
"Harrisonburg, VA", "Cub Haven","Harrisonburg Downtown Renaissance",905
"Hartford-East Hartford-Middletown, CT", "Arrigoni Bridge","Meriden Markham Municipal Airport",1540
"Hartford-East Hartford-Middletown, CT", "New Britain Museum of American Art","Wesleyan University",1306
"Hartford-East Hartford-Middletown, CT", "Kidcity Children's Museum","Arrigoni Bridge",193
"Hartford-East Hartford-Middletown, CT", "Wesleyan University","Meriden Markham Municipal Airport",1414
"Hartford-East Hartford-Middletown, CT", "Meriden Markham Municipal Airport","Kidcity Children's Museum",1375
"Hattiesburg, MS", "Petal City Park","Hattiesburg-Laurel Regional Airport",1136
"Hattiesburg, MS", "All-American Rose Garden","The University of Southern Mississippi",238
"Hattiesburg, MS", "Petal Relay Park","Petal City Park",233
"Hattiesburg, MS", "The University of Southern Mississippi","Hattiesburg-Laurel Regional Airport",1026
"Hattiesburg, MS", "Hattiesburg-Laurel Regional Airport","Petal Relay Park",1115
"Hickory-Lenoir-Morganton, NC", "South Mountains State Park","Foothills Regional Airport-KMRN",2396
"Hickory-Lenoir-Morganton, NC", "Lake James State Park","Western Piedmont Community College",1530
"Hickory-Lenoir-Morganton, NC", "Apple Hill Orchard and Cider Mill","South Mountains State Park",1051
"Hickory-Lenoir-Morganton, NC", "Western Piedmont Community College","Foothills Regional Airport-KMRN",1130
"Hickory-Lenoir-Morganton, NC", "Foothills Regional Airport-KMRN","Apple Hill Orchard and Cider Mill",1491
"Hilton Head Island-Bluffton, SC", "Harbour Town Lighthouse","Hilton Head Island Airport",1433
"Hilton Head Island-Bluffton, SC", "Coligny Beach Park","University of South Carolina Beaufort - Bluffton campus",2059
"Hilton Head Island-Bluffton, SC", "Coastal Discovery Museum","Harbour Town Lighthouse",1063
"Hilton Head Island-Bluffton, SC", "University of South Carolina Beaufort - Bluffton campus","Hilton Head Island Airport",1808
"Hilton Head Island-Bluffton, SC", "Hilton Head Island Airport","Coastal Discovery Museum",625
"Hinesville, GA", "Bradwell Park","MidCoast Regional Airport",782
"Hinesville, GA", "LeConte-Woodmanston Plantation and Botanical Gardens","AASU Liberty Center Front Desk",1577
"Hinesville, GA", "James A Brown Park","Bradwell Park",324
"Hinesville, GA", "AASU Liberty Center Front Desk","MidCoast Regional Airport",675
"Hinesville, GA", "MidCoast Regional Airport","James A Brown Park",716
"Homosassa Springs, FL", "Ellie Schiller Homosassa Springs Wildlife State Park","Crystal River/Captain Tom Davis Field Airport",740
"Homosassa Springs, FL", "Cabot Citrus Farms","Crystal Aero Group, Inc.",1488
"Homosassa Springs, FL", "American Pro Diving Center-Swim With Manatees","Ellie Schiller Homosassa Springs Wildlife State Park",870
"Homosassa Springs, FL", "Crystal Aero Group, Inc.","Crystal River/Captain Tom Davis Field Airport",1
"Homosassa Springs, FL", "Crystal River/Captain Tom Davis Field Airport","American Pro Diving Center-Swim With Manatees",177
"Hot Springs, AR", "Hot Springs National Park","Memorial Field Airport (HOT)",772
"Hot Springs, AR", "Lake Catherine State Park","National Park College",1688
"Hot Springs, AR", "Lake Ouachita State Park","Hot Springs National Park",1405
"Hot Springs, AR", "National Park College","Memorial Field Airport (HOT)",611
"Hot Springs, AR", "Memorial Field Airport (HOT)","Lake Ouachita State Park",1425
"Houma-Thibodaux, LA", "Bayou Country Children's Museum","Thibodaux Hospital and Health Center Heliport",195
"Houma-Thibodaux, LA", "Ardoyne Plantation","Nicholls State University",1058
"Houma-Thibodaux, LA", "Laurel Valley Village Store","Bayou Country Children's Museum",256
"Houma-Thibodaux, LA", "Nicholls State University","Thibodaux Hospital and Health Center Heliport",239
"Houma-Thibodaux, LA", "Thibodaux Hospital and Health Center Heliport","Laurel Valley Village Store",352
"Houston-The Woodlands-Sugar Land, TX", "BAPS Shri Swaminarayan Mandir, Houston","Houston Southwest Airport",1424
"Houston-The Woodlands-Sugar Land, TX", "Houston Funplex","Houston Community College - Stafford Campus",1319
"Houston-The Woodlands-Sugar Land, TX", "St. Theresa Catholic Church","BAPS Shri Swaminarayan Mandir, Houston",727
"Houston-The Woodlands-Sugar Land, TX", "Houston Community College - Stafford Campus","Houston Southwest Airport",1282
"Houston-The Woodlands-Sugar Land, TX", "Houston Southwest Airport","St. Theresa Catholic Church",1800
"Huntington-Ashland, WV-KY-OH", "Huntington Downtown Historic District","Huntington Tri-State Airport",1059
"Huntington-Ashland, WV-KY-OH", "Camden Park","Marshall University",1119
"Huntington-Ashland, WV-KY-OH", "Paramount Arts Center","Huntington Downtown Historic District",1245
"Huntington-Ashland, WV-KY-OH", "Marshall University","Huntington Tri-State Airport",1379
"Huntington-Ashland, WV-KY-OH", "Huntington Tri-State Airport","Paramount Arts Center",1278
"Huntsville, AL", "U.S. Space & Rocket Center","Huntsville Executive Airport",1264
"Huntsville, AL", "Monte Sano State Park","Oakwood University",1457
"Huntsville, AL", "Lowe Mill ARTS & Entertainment","U.S. Space & Rocket Center",547
"Huntsville, AL", "Oakwood University","Huntsville Executive Airport",1247
"Huntsville, AL", "Huntsville Executive Airport","Lowe Mill ARTS & Entertainment",1128
"Idaho Falls, ID", "Idaho Falls Zoo at Tautphaus Park","Idaho Falls Regional Airport",693
"Idaho Falls, ID", "Museum of Idaho","College of Eastern Idaho",516
"Idaho Falls, ID", "Esquire Acres Park","Idaho Falls Zoo at Tautphaus Park",620
"Idaho Falls, ID", "College of Eastern Idaho","Idaho Falls Regional Airport",1011
"Idaho Falls, ID", "Idaho Falls Regional Airport","Esquire Acres Park",460
"Indianapolis-Carmel-Anderson, IN", "Indianapolis Motor Speedway","Butler University",1105
"Indianapolis-Carmel-Anderson, IN", "Indianapolis Zoo","The Children's Museum of Indianapolis",900
"Iowa City, IA", "Herbert Hoover Presidential Library and Museum","Iowa City Municipal Airport",1389
"Iowa City, IA", "Lake Macbride State Park","Roy J. and Lucille A. Carver College of Medicine",1576
"Iowa City, IA", "University of Iowa Museum of Natural History","Herbert Hoover Presidential Library and Museum",992
"Iowa City, IA", "Roy J. and Lucille A. Carver College of Medicine","Iowa City Municipal Airport",431
"Iowa City, IA", "Iowa City Municipal Airport","University of Iowa Museum of Natural History",529
"Ithaca, NY", "Taughannock Falls State Park","Ithaca Tompkins International Airport",1384
"Ithaca, NY", "Ithaca Farmers Market","Cornell University",586
"Ithaca, NY", "Upper Buttermilk Falls","Taughannock Falls State Park",1623
"Ithaca, NY", "Cornell University","Ithaca Tompkins International Airport",518
"Ithaca, NY", "Ithaca Tompkins International Airport","Upper Buttermilk Falls",1445
"Jackson, MI", "Haehnle Sanctuary","Jackson County Airport",1125
"Jackson, MI", "Lone Oak Vineyard Estate","Baker College of Jackson",787
"Jackson, MI", "Jackson Historic Prison Tours","Haehnle Sanctuary",1017
"Jackson, MI", "Baker College of Jackson","Jackson County Airport",479
"Jackson, MI", "Jackson County Airport","Jackson Historic Prison Tours",582
"Jackson, MS", "Mississippi Museum of Art","Jackson-Medgar Wiley Evers International Airport",1152
"Jackson, MS", "Mississippi Museum of Natural Science","Jackson State University",977
"Jackson, MS", "Mississippi Agriculture and Forestry Museum","Mississippi Museum of Art",571
"Jackson, MS", "Jackson State University","Jackson-Medgar Wiley Evers International Airport",1238
"Jackson, MS", "Jackson-Medgar Wiley Evers International Airport","Mississippi Agriculture and Forestry Museum",775
"Jackson, TN", "Brooks Shaw's Old Country Store","McKellar-Sipes Regional Airport",736
"Jackson, TN", "Rusty's TV & Movie Car Museum","Union University",757
"Jackson, TN", "Century Farm Winery","Brooks Shaw's Old Country Store",681
"Jackson, TN", "Union University","McKellar-Sipes Regional Airport",872
"Jackson, TN", "McKellar-Sipes Regional Airport","Century Farm Winery",539
"Jacksonville, FL", "Jacksonville Zoo and Gardens","Jacksonville International Airport",781
"Jacksonville, FL", "Henry H Buckman Bridge","Trinity Baptist College",960
"Jacksonville, FL", "MOSH (Museum Of Science & History)","Jacksonville Zoo and Gardens",863
"Jacksonville, FL", "Trinity Baptist College","Jacksonville International Airport",1358
"Jacksonville, FL", "Jacksonville International Airport","MOSH (Museum Of Science & History)",1187
"Jacksonville, NC", "Lynnwood Park Zoo","Albert J Ellis Airport",746
"Jacksonville, NC", "Wilson Bay Park","Coastal Carolina Community College",672
"Jacksonville, NC", "Onslow County Parks: Onslow Pines Park","Lynnwood Park Zoo",663
"Jacksonville, NC", "Coastal Carolina Community College","Albert J Ellis Airport",1678
"Jacksonville, NC", "Albert J Ellis Airport","Onslow County Parks: Onslow Pines Park",1208
"Janesville-Beloit, WI", "Rock Cut State Park","Southern Wisconsin Regional Airport",1881
"Janesville-Beloit, WI", "Historic Auto Attractions","Blackhawk Technical College",1156
"Janesville-Beloit, WI", "Riverside Park","Rock Cut State Park",1379
"Janesville-Beloit, WI", "Blackhawk Technical College","Southern Wisconsin Regional Airport",296
"Janesville-Beloit, WI", "Southern Wisconsin Regional Airport","Riverside Park",745
"Jefferson City, MO", "Missouri State Museum","Jefferson City Airport",257
"Jefferson City, MO", "McClung Park","Columbia College-Jefferson City",713
"Jefferson City, MO", "Binder Park","Missouri State Museum",866
"Jefferson City, MO", "Columbia College-Jefferson City","Jefferson City Airport",598
"Jefferson City, MO", "Jefferson City Airport","Binder Park",801
"Johnson City, TN", "Fort Watauga","Tri-Cities Airport",1890
"Johnson City, TN", "Jonesborough Washington County History Museum","East Tennessee State University",933
"Johnson City, TN", "Winged Deer Park","Fort Watauga",1344
"Johnson City, TN", "East Tennessee State University","Tri-Cities Airport",1742
"Johnson City, TN", "Tri-Cities Airport","Winged Deer Park",1277
"Johnstown, PA", "Heritage Discovery Center","John Murtha Johnstown-Cambria County Airport",803
"Johnstown, PA", "Johnstown Flood Museum","University of Pittsburgh at Johnstown",932
"Johnstown, PA", "Southern Alleghenies Museum of Art","Heritage Discovery Center",871
"Johnstown, PA", "University of Pittsburgh at Johnstown","John Murtha Johnstown-Cambria County Airport",833
"Johnstown, PA", "John Murtha Johnstown-Cambria County Airport","Southern Alleghenies Museum of Art",657
"Jonesboro, AR", "Craighead Forest Park","Nolan Airport",827
"Jonesboro, AR", "Parker Park Community Center","Arkansas State University",581
"Jonesboro, AR", "Joe Mack Campbell Park","Craighead Forest Park",1085
"Jonesboro, AR", "Arkansas State University","Nolan Airport",795
"Jonesboro, AR", "Nolan Airport","Joe Mack Campbell Park",1088
"Joplin, MO", "George Washington Carver National Monument","Joplin Regional Airport",1576
"Joplin, MO", "Schifferdecker Park","Missouri Southern State University",862
"Joplin, MO", "King Jack Park","George Washington Carver National Monument",1221
"Joplin, MO", "Missouri Southern State University","Joplin Regional Airport",871
"Joplin, MO", "Joplin Regional Airport","King Jack Park",703
"Kahului-Wailuku-Lahaina, HI", "Old Lahaina Luau","Kapalua Airport",669
"Kahului-Wailuku-Lahaina, HI", "Maui Nui Luau","Nathalie Mullinix Realty University",620
"Kahului-Wailuku-Lahaina, HI", "D.T. Fleming Park","Old Lahaina Luau",1025
"Kahului-Wailuku-Lahaina, HI", "Nathalie Mullinix Realty University","Kapalua Airport",772
"Kahului-Wailuku-Lahaina, HI", "Kapalua Airport","D.T. Fleming Park",523
"Kalamazoo-Portage, MI", "Bell's Comstock Brewery","Kalamazoo/Battle Creek International Airport",1088
"Kalamazoo-Portage, MI", "Bronson Park","Western Michigan University",375
"Kalamazoo-Portage, MI", "Kalamazoo Downtown Partnership","Bell's Comstock Brewery",700
"Kalamazoo-Portage, MI", "Western Michigan University","Kalamazoo/Battle Creek International Airport",1069
"Kalamazoo-Portage, MI", "Kalamazoo/Battle Creek International Airport","Kalamazoo Downtown Partnership",879
"Kankakee, IL", "Kankakee River State Park","Greater Kankakee Airport-IKK",1404
"Kankakee, IL", "Bird Park Fields","Olivet Nazarene University",517
"Kankakee, IL", "Kankakee Illinois Railroad Museum","Kankakee River State Park",922
"Kankakee, IL", "Olivet Nazarene University","Greater Kankakee Airport-IKK",1080
"Kankakee, IL", "Greater Kankakee Airport-IKK","Kankakee Illinois Railroad Museum",614
"Kansas City, MO-KS", "Wilson State Park","Lucas Airport",1071
"Kansas City, MO-KS", "Grassroots Art Center","University",517
"Kansas City, MO-KS", "World's Largest Things, Inc.","Wilson State Park",1107
"Kansas City, MO-KS", "University","Lucas Airport",448
"Kansas City, MO-KS", "Lucas Airport","World's Largest Things, Inc.",208
"Kennewick-Richland, WA", "Ed Hendler Bridge","Tri-Cities Airport",625
"Kennewick-Richland, WA", "Jokers Comedy Club","Washington State University Tri-Cities",638
"Kennewick-Richland, WA", "Sacajawea Historical State Park","Ed Hendler Bridge",522
"Kennewick-Richland, WA", "Washington State University Tri-Cities","Tri-Cities Airport",1431
"Kennewick-Richland, WA", "Tri-Cities Airport","Sacajawea Historical State Park",841
"Killeen-Temple, TX", "Dana Peak Park","Skylark Field Airport",992
"Killeen-Temple, TX", "AA Lane Park","Central Texas College",904
"Killeen-Temple, TX", "Great Escape of Central Texas","Dana Peak Park",849
"Killeen-Temple, TX", "Central Texas College","Skylark Field Airport",794
"Killeen-Temple, TX", "Skylark Field Airport","Great Escape of Central Texas",394
"Kingsport-Bristol, TN-VA", "Bristol Motor Speedway","Virginia Highlands Airport",1780
"Kingsport-Bristol, TN-VA", "Bristol Caverns","King University",682
"Kingsport-Bristol, TN-VA", "Steele Creek Park","Bristol Motor Speedway",890
"Kingsport-Bristol, TN-VA", "King University","Virginia Highlands Airport",1079
"Kingsport-Bristol, TN-VA", "Virginia Highlands Airport","Steele Creek Park",1370
"Kingston, NY", "Vanderbilt Mansion National Historic Site","Kingston Ulster Airport",1613
"Kingston, NY", "Old Rhinebeck Aerodrome","Bard College",757
"Kingston, NY", "Opus 40","Vanderbilt Mansion National Historic Site",2432
"Kingston, NY", "Bard College","Kingston Ulster Airport",753
"Kingston, NY", "Kingston Ulster Airport","Opus 40",1029
"Knoxville, TN", "Ijams Nature Center","Knoxville Downtown Island",342
"Knoxville, TN", "Victor Ashe Park","University of Tennessee",814
"Knoxville, TN", "Knoxville Botanical Garden and Arboretum","Ijams Nature Center",740
"Knoxville, TN", "University of Tennessee","Knoxville Downtown Island",793
"Knoxville, TN", "Knoxville Downtown Island","Knoxville Botanical Garden and Arboretum",710
"Kokomo, IN", "Sycamore Stump & Old Ben","Indian Hills Flying Field-2II0",508
"Kokomo, IN", "Kokomo Opalescent Glass","Indiana University Kokomo",273
"Kokomo, IN", "Meridian Park","Sycamore Stump & Old Ben",302
"Kokomo, IN", "Indiana University Kokomo","Indian Hills Flying Field-2II0",519
"Kokomo, IN", "Indian Hills Flying Field-2II0","Meridian Park",737
"La Crosse-Onalaska, WI-MN", "Spider Lake ATV/ORV/ORM Trails","Backus Municipal Airport-7Y3",1433
"La Crosse-Onalaska, WI-MN", "Screamin' Eagle Acres","Spider Lake ATV/ORV/ORM Trails",1098
"La Crosse-Onalaska, WI-MN", "Backus Municipal Airport-7Y3","Screamin' Eagle Acres",848
"Lafayette, LA", "LARC's Acadian Village","A2 Global Shipping",1173
"Lafayette, LA", "Pelican Park","Remington College Lafayette Campus",1689
"Lafayette, LA", "Lafayette Science Museum","LARC's Acadian Village",1157
"Lafayette, LA", "Remington College Lafayette Campus","A2 Global Shipping",1108
"Lafayette, LA", "A2 Global Shipping","Lafayette Science Museum",240
"Lafayette-West Lafayette, IN", "Prophetstown State Park","Purdue University Airport",1139
"Lafayette-West Lafayette, IN", "Wolf Park","Purdue University",1291
"Lafayette-West Lafayette, IN", "Columbian Park Zoo","Prophetstown State Park",1004
"Lafayette-West Lafayette, IN", "Purdue University","Purdue University Airport",180
"Lafayette-West Lafayette, IN", "Purdue University Airport","Columbian Park Zoo",672
"Lake Charles, LA", "SPAR Waterpark - Sulphur Parks and Recreation","Lake Charles Regional Airport",1653
"Lake Charles, LA", "Millennium Park","McNeese State University",650
"Lake Charles, LA", "Drew Park","SPAR Waterpark - Sulphur Parks and Recreation",1091
"Lake Charles, LA", "McNeese State University","Lake Charles Regional Airport",546
"Lake Charles, LA", "Lake Charles Regional Airport","Drew Park",1073
"Lake Havasu City-Kingman, AZ", "Lake Havasu State Park","Lake Havasu City Airport",716
"Lake Havasu City-Kingman, AZ", "London Bridge Beach","D 2 Aero",777
"Lake Havasu City-Kingman, AZ", "Rotary Community Park & Playgrounds","Lake Havasu State Park",444
"Lake Havasu City-Kingman, AZ", "D 2 Aero","Lake Havasu City Airport",293
"Lake Havasu City-Kingman, AZ", "Lake Havasu City Airport","Rotary Community Park & Playgrounds",879
"Lakeland-Winter Haven, FL", "Bok Tower Gardens","Bartow Executive Airport",2134
"Lakeland-Winter Haven, FL", "Fantasy of Flight","Southeastern University",1422
"Lakeland-Winter Haven, FL", "Circle B Bar Reserve","Bok Tower Gardens",2570
"Lakeland-Winter Haven, FL", "Southeastern University","Bartow Executive Airport",1453
"Lakeland-Winter Haven, FL", "Bartow Executive Airport","Circle B Bar Reserve",927
"Lancaster, PA", "Field of Screams","Lancaster Airport",1061
"Lancaster, PA", "Dutch Wonderland Family Amusement Park","Lancaster Bible College | Capital Seminary & Graduate School",626
"Lancaster, PA", "The Amish Village","Field of Screams",1345
"Lancaster, PA", "Lancaster Bible College | Capital Seminary & Graduate School","Lancaster Airport",681
"Lancaster, PA", "Lancaster Airport","The Amish Village",1357
"Lansing-East Lansing, MI", "Impression 5 Science Center","Capital Region International Airport",922
"Lansing-East Lansing, MI", "Potter Park Zoo","Michigan State University",631
"Lansing-East Lansing, MI", "Eli and Edythe Broad Art Museum","Impression 5 Science Center",729
"Lansing-East Lansing, MI", "Michigan State University","Capital Region International Airport",1230
"Lansing-East Lansing, MI", "Capital Region International Airport","Eli and Edythe Broad Art Museum",1207
"Laredo, TX", "Lake Casa Blanca International State Park","Laredo International Airport",622
"Laredo, TX", "Webb County Heritage Foundation","Texas A&M International University",1300
"Laredo, TX", "Fuente del Poeta","Lake Casa Blanca International State Park",1730
"Laredo, TX", "Texas A&M International University","Laredo International Airport",692
"Laredo, TX", "Laredo International Airport","Fuente del Poeta",1414
"Las Cruces, NM", "Mesilla Valley Bosque State Park","Las Cruces International Airport",906
"Las Cruces, NM", "St Genevieve's Catholic Church","New Mexico State University",664
"Las Cruces, NM", "Chihuahuan Desert Nature Park","Mesilla Valley Bosque State Park",2272
"Las Cruces, NM", "New Mexico State University","Las Cruces International Airport",1017
"Las Cruces, NM", "Las Cruces International Airport","Chihuahuan Desert Nature Park",2495
"Las Vegas-Henderson-Paradise, NV", "Caesars Palace","Harry Reid International Airport",1043
"Las Vegas-Henderson-Paradise, NV", "Tuscany Suites & Casino","College of Southern Nevada",1380
"Las Vegas-Henderson-Paradise, NV", "Paris Las Vegas","Caesars Palace",662
"Las Vegas-Henderson-Paradise, NV", "College of Southern Nevada","Harry Reid International Airport",1597
"Las Vegas-Henderson-Paradise, NV", "Harry Reid International Airport","Paris Las Vegas",709
"Lawrence, KS", "Spencer Museum of Art","Lawrence Regional Airport",678
"Lawrence, KS", "Clinton State Park","University of Kansas",928
"Lawrence, KS", "KU Natural History Museum","Spencer Museum of Art",112
"Lawrence, KS", "University of Kansas","Lawrence Regional Airport",906
"Lawrence, KS", "Lawrence Regional Airport","KU Natural History Museum",658
"Lawton, OK", "Museum of the Great Plains","Lawton-Fort Sill Regional Airport",687
"Lawton, OK", "Liberty Lake Park","Cameron University",513
"Lawton, OK", "Fort Sill National Historic Landmark and Museum","Museum of the Great Plains",554
"Lawton, OK", "Cameron University","Lawton-Fort Sill Regional Airport",696
"Lawton, OK", "Lawton-Fort Sill Regional Airport","Fort Sill National Historic Landmark and Museum",906
"Lebanon, PA", "Mount Hope Estate & Winery","Muir Army Airfield",1800
"Lebanon, PA", "Middle Creek Wildlife Management Area","Lebanon Valley College",1911
"Lebanon, PA", "Wolf Sanctuary of PA","Mount Hope Estate & Winery",801
"Lebanon, PA", "Lebanon Valley College","Muir Army Airfield",914
"Lebanon, PA", "Muir Army Airfield","Wolf Sanctuary of PA",2105
"Lewiston, ID-WA", "Idaho Historic Marker #264 - The Ant and the Yellowjacket","Lewiston-Nez Perce County Regional Airport",1214
"Lewiston, ID-WA", "Jack O'Connor Center","Lewis-Clark State College",640
"Lewiston, ID-WA", "Nez Perce County Historical Society","Idaho Historic Marker #264 - The Ant and the Yellowjacket",923
"Lewiston, ID-WA", "Lewis-Clark State College","Lewiston-Nez Perce County Regional Airport",480
"Lewiston, ID-WA", "Lewiston-Nez Perce County Regional Airport","Nez Perce County Historical Society",637
"Lewiston-Auburn, ME", "Sabbathday Lake Shaker Village","Auburn-Lewiston Municipal Airport",682
"Lewiston-Auburn, ME", "Festival Plaza","Hathorn Hall",381
"Lewiston-Auburn, ME", "Engine House","Sabbathday Lake Shaker Village",1159
"Lewiston-Auburn, ME", "Hathorn Hall","Auburn-Lewiston Municipal Airport",1056
"Lewiston-Auburn, ME", "Auburn-Lewiston Municipal Airport","Engine House",674
"Lexington-Fayette, KY", "Keeneland Association Inc","Blue Grass Airport",442
"Lexington-Fayette, KY", "Masterson Station Park","Bluegrass Community & Technical College - Cooper Campus",1281
"Lexington-Fayette, KY", "McConnell Springs Park","Keeneland Association Inc",562
"Lexington-Fayette, KY", "Bluegrass Community & Technical College - Cooper Campus","Blue Grass Airport",1174
"Lexington-Fayette, KY", "Blue Grass Airport","McConnell Springs Park",732
"Lima, OH", "Robb Park","Lima Allen County Regional Airport (AOH)",989
"Lima, OH", "Faurot Park","The Ohio State University at Lima",949
"Lima, OH", "McLean Teddy Bear Park","Robb Park",577
"Lima, OH", "The Ohio State University at Lima","Lima Allen County Regional Airport (AOH)",617
"Lima, OH", "Lima Allen County Regional Airport (AOH)","McLean Teddy Bear Park",759
"Lincoln, NE", "Pioneers Park Nature Center","Lincoln Airport",1002
"Lincoln, NE", "Nebraska State Capitol","University of Nebraska-Lincoln",315
"Lincoln, NE", "International Quilt Museum","Pioneers Park Nature Center",1223
"Lincoln, NE", "University of Nebraska-Lincoln","Lincoln Airport",804
"Lincoln, NE", "Lincoln Airport","International Quilt Museum",772
"Little Rock-North Little Rock-Conway, AR", "Little Rock Zoo","Bill and Hillary Clinton National Airport",823
"Little Rock-North Little Rock-Conway, AR", "Museum of Discovery","UAMS College of Pharmacy",617
"Little Rock-North Little Rock-Conway, AR", "Rock Town Distillery","Little Rock Zoo",420
"Little Rock-North Little Rock-Conway, AR", "UAMS College of Pharmacy","Bill and Hillary Clinton National Airport",909
"Little Rock-North Little Rock-Conway, AR", "Bill and Hillary Clinton National Airport","Rock Town Distillery",641
"Logan, UT-ID", "Franklin Relic Hall","Logan-Cache Airport",1350
"Logan, UT-ID", "Heritage Park","Department-Journalism & Comm",1073
"Logan, UT-ID", "North Logan City Parks","Franklin Relic Hall",1460
"Logan, UT-ID", "Department-Journalism & Comm","Logan-Cache Airport",786
"Logan, UT-ID", "Logan-Cache Airport","North Logan City Parks",458
"Longview, TX", "KidsView Playground","East Texas Regional Airport",948
"Longview, TX", "Kilgore College East Texas Oil Museum","Kilgore College",64
"Longview, TX", "Rangerette Showcase and Museum","KidsView Playground",1048
"Longview, TX", "Kilgore College","East Texas Regional Airport",897
"Longview, TX", "East Texas Regional Airport","Rangerette Showcase and Museum",931
"Longview, WA", "WA Parks Mt Saint Helens Interpretive Center","Walters Arv Ultralight Airport",1562
"Longview, WA", "Cowlitz County Historical Museum","Lower Columbia College",343
"Longview, WA", "Rainier City Park","WA Parks Mt Saint Helens Interpretive Center",1852
"Longview, WA", "Lower Columbia College","Walters Arv Ultralight Airport",778
"Longview, WA", "Walters Arv Ultralight Airport","Rainier City Park",969
"Los Angeles-Long Beach-Anaheim, CA", "The Queen Mary","Los Angeles International Airport",2181
"Los Angeles-Long Beach-Anaheim, CA", "Aquarium of the Pacific","Los Angeles Southwest College",1566
"Los Angeles-Long Beach-Anaheim, CA", "California Science Center","The Queen Mary",2001
"Los Angeles-Long Beach-Anaheim, CA", "Los Angeles Southwest College","Los Angeles International Airport",1339
"Los Angeles-Long Beach-Anaheim, CA", "Los Angeles International Airport","California Science Center",1555
"Louisville/Jefferson County, KY-IN", "Churchill Downs","Louisville International Airport",908
